File,Run,Module,numGivenUp
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[6].wlan[1].mac,14
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[6].wlan[2].mac,1
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[7].wlan[0].mac,45
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[7].wlan[1].mac,26
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[7].wlan[2].mac,133
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[8].wlan[0].mac,50
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[8].wlan[1].mac,27
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[8].wlan[2].mac,209
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[9].wlan[0].mac,47
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[9].wlan[1].mac,34
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[9].wlan[2].mac,20
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[10].wlan[0].mac,47
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[10].wlan[1].mac,3
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[10].wlan[2].mac,168
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[11].wlan[0].mac,98
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[11].wlan[1].mac,43
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[11].wlan[2].mac,5
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[12].wlan[0].mac,29
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[12].wlan[1].mac,1
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[12].wlan[2].mac,245
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[13].wlan[0].mac,3
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[13].wlan[1].mac,0
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[13].wlan[2].mac,20
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[14].wlan[0].mac,11
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[14].wlan[1].mac,1
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[14].wlan[2].mac,85
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[15].wlan[0].mac,50
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[15].wlan[1].mac,44
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[15].wlan[2].mac,103
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[16].wlan[0].mac,42
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[16].wlan[1].mac,4
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[16].wlan[2].mac,162
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[17].wlan[0].mac,1
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[17].wlan[1].mac,44
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[17].wlan[2].mac,2
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[18].wlan[0].mac,1
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[18].wlan[1].mac,2
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[18].wlan[2].mac,22
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[19].wlan[0].mac,65
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[19].wlan[1].mac,56
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[19].wlan[2].mac,85
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[20].wlan[0].mac,65
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[20].wlan[1].mac,4
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[20].wlan[2].mac,119
ramenLin_par40_0_.sca,ramenLin-0-20100509-12:46:35-6173,NetworkMultiRadioIPv4.mobileHost[21].wlan[0].mac,5
