File,Run,Module,numGivenUp
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[6].wlan[2].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[7].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[7].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[7].wlan[2].mac,164
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[8].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[8].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[8].wlan[2].mac,206
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[9].wlan[0].mac,29
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[9].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[9].wlan[2].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[10].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[10].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[10].wlan[2].mac,284
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[11].wlan[0].mac,36
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[11].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[11].wlan[2].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[12].wlan[0].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[12].wlan[1].mac,0
GTrndIfIndex36_par40_0_.sca,GTrndIfIndex36-0-20100528-17:25:26-8381,NetworkMultiRadioIPv4.mobileHost[12].wlan[2].mac,308
